n_neurons,position,D0,R2_D0,D1,R2_D1,overlap_area,overlap_percentage,filled_overlap_percentage,mean_soma_distance,std_soma_distance,total_intersections,intersections_per_neuron,std_intersections_per_neuron
9,55,1.6629099779465164,0.999500391806013,1.716830524455738,0.9992744539959637,33717,7.481726719596679,8.126732386897732,798.0563496277174,441.18786559158235,1074,119.33333333333333,61.364122706639876
9,56,1.6652217427907303,0.9995535918573081,1.7309178199427415,0.9992264907184845,29849,6.625190328007849,7.1185826272146455,653.780250540839,333.45476289821113,989,109.88888888888889,91.60516455331275
9,57,1.6469665555188566,0.9992729267383593,1.7001513416538085,0.9988738814868009,18693,4.146048799746264,4.331464930960253,867.2396393014353,378.0875733930809,638,70.88888888888889,68.86827648615028
9,58,1.6214101552338298,0.9983647843841871,1.6406372618261624,0.998381547564384,12355,2.739000215040891,2.816198326008862,1038.6098788815782,385.8412490054124,372,41.333333333333336,28.666666666666668
9,59,1.6581179851161694,0.998976974311471,1.6774772046736353,0.9988325220291588,17044,3.7787468767251453,3.9294071538080253,904.7283304881748,407.8338934069711,460,51.111111111111114,41.54723624389681
9,60,1.6090458642463743,0.9987228530787717,1.645893571588678,0.9985806148289126,16538,3.659375795191786,3.802101294342138,1038.467091068282,418.65019859983806,534,59.333333333333336,60.65750846625118
9,61,1.6257582710034022,0.9992260315803569,1.6715738869815293,0.998997758576347,21566,4.772453168394613,5.019130693825115,973.7098463992378,429.3180752384705,735,81.66666666666667,75.16352543325489
9,62,1.6410680343634645,0.9986344957287109,1.673226427807793,0.9986590646742883,20852,4.614039940255573,4.84287144280502,903.0583830214741,420.09404141228754,628,69.77777777777777,84.3143735091883
9,63,1.6436981916959574,0.9994384193699912,1.7038619951997023,0.999384296888313,28975,6.403583796888709,6.864113066570645,763.0506468535374,367.60687003626157,930,103.33333333333333,99.74857281073136
9,64,1.5995578795197494,0.9992520417207957,1.6566967918267266,0.9989725599109571,17202,3.8034802219912884,3.955555759953275,1029.7474704023398,438.53394295164486,559,62.111111111111114,60.01255012778166
